Points,Data
1.78E-15,17.62259439
0.02777,17.62217979
0.05554,17.62147264
0.08331,17.62044217
0.11108,17.61905765
0.13885,17.61422026
0.16662,17.60819423
0.19439,17.60587332
0.22216,17.61140931
0.24993,17.62873932
0.2777,17.65655611
0.30547,17.6881321
0.33324,17.71648979
0.36101,17.73467144
0.38878,17.73863041
0.41655,17.73027757
0.44432,17.71225262
0.47209,17.68719527
0.49986,17.65796209
0.52763,17.62834543
0.5554,17.60239006
0.58317,17.58414072
0.61094,17.57688197
0.63871,17.57653399
0.66648,17.57488309
0.69425,17.56366975
0.72202,17.53493275
0.74979,17.48896912
0.77756,17.43519411
0.80533,17.38349382
0.8331,17.3437306
0.86087,17.32107334
0.88864,17.31038552
0.91641,17.30516159
0.94418,17.298896
0.97195,17.28639875
0.99972,17.26860633
1.02749,17.24823721
1.05526,17.22801009
1.08303,17.21051177
1.1108,17.19693378
1.13857,17.18762898
1.16634,17.18293879
1.19411,17.18316668
1.22188,17.18741745
1.24965,17.19338187
1.27742,17.19866934
1.30519,17.20089151
1.33296,17.19828765
1.36073,17.19057672
1.3885,17.17769078
1.41627,17.1595619
1.44404,17.13674657
1.47181,17.11294008
1.49958,17.09282194
1.52735,17.08107197
1.55512,17.08175125
1.58289,17.09175617
1.61066,17.10337407
1.63843,17.10881611
1.6662,17.10047049
1.69397,17.07716553
1.72174,17.04584802
1.74951,17.01398312
1.77728,16.98902802
1.80505,16.97518983
1.83282,16.96844136
1.86059,16.96347106
1.88836,16.95496738
1.91613,16.93845596
1.9439,16.91400748
1.97167,16.8832278
1.99944,16.84772394
2.02721,16.80928717
2.05498,16.77205009
2.08275,16.74175647
2.11052,16.72418184
2.13829,16.72494601
2.16606,16.74308681
2.19383,16.76877339
2.2216,16.79154903
2.24937,16.80096408
2.27714,16.79121209
2.30491,16.76913799
2.33268,16.74372142
2.36045,16.72394201
2.38822,16.71701254
2.41599,16.71977903
2.44376,16.72531845
2.47153,16.72670239
2.4993,16.71748525
2.52707,16.69797695
2.55484,16.67345821
2.58261,16.649325
2.61038,16.6308904
2.63815,16.61935024
2.66592,16.60996865
2.69369,16.5975487
2.72146,16.57689584
2.74923,16.54560057
2.777,16.50942108
2.80477,16.47560508
2.83254,16.4514003
2.86031,16.44269606
2.88808,16.44676071
2.91585,16.45749141
2.94362,16.46877755
2.97139,16.47477914
2.99916,16.47383986
3.02693,16.46759394
3.0547,16.45776436
3.08247,16.44607098
3.11024,16.43404668
3.13801,16.42293629
3.16578,16.41396007
3.19355,16.40833797
3.22132,16.40660207
3.24909,16.40711148
3.27686,16.40779728
3.30463,16.40659058
3.3324,16.4018049
3.36017,16.39438175
3.38794,16.38636705
3.41571,16.37981056
3.44348,16.37665568
3.47125,16.3770227
3.49902,16.37949961
3.52679,16.38262676
3.55456,16.38495472
3.58233,16.3857644
3.6101,16.38554114
3.63787,16.38488286
3.66564,16.38438742
3.69341,16.38445245
3.72118,16.3847938
3.74895,16.38498234
3.77672,16.38458893
3.80449,16.38315997
3.83226,16.38005953
3.86003,16.37456941
3.8878,16.36597099
3.91557,16.35361822
3.94334,16.3382502
3.97111,16.32184989
3.99888,16.30644447
4.02665,16.29404524
4.05442,16.28527098
4.08219,16.27828158
4.10996,16.27098593
4.13773,16.26129294
4.1655,16.24778773
4.19327,16.2315384
4.22104,16.21418276
4.24881,16.19735867
4.27658,16.18262183
4.30435,16.17086393
4.33212,16.16265503
4.35989,16.15856312
4.38766,16.15905685
4.41543,16.16248212
4.4432,16.16514835
4.47097,16.16328294
4.49874,16.15313916
4.52651,16.13382791
4.55428,16.10986606
4.58205,16.08637198
4.60982,16.06846403
4.63759,16.05974398
4.66536,16.05780613
4.69313,16.0587575
4.7209,16.05870511
4.74867,16.0541438
4.77644,16.04497876
4.80421,16.03288602
4.83198,16.01955667
4.85975,16.0066453
4.88752,15.99492858
4.91529,15.98428344
4.94306,15.97454595
4.97083,15.96555406
4.9986,15.95741657
5.02637,15.9507915
5.05414,15.94640337
5.08191,15.9449767
5.10968,15.94671797
5.13745,15.94961974
5.16522,15.95108327
5.19299,15.9485098
5.22076,15.93958695
5.24853,15.92474545
5.2763,15.90594231
5.30407,15.885151
5.33184,15.86429165
5.35961,15.84383281
5.38738,15.82265377
5.41515,15.79955293
5.44292,15.77333668
5.47069,15.7443276
5.49846,15.7161472
5.52623,15.69285066
5.554,15.67849316
5.58177,15.67605752
5.60954,15.68358123
5.63731,15.69767722
5.66508,15.71495829
5.69285,15.73214145
5.72062,15.74703371
5.74839,15.75809153
5.77616,15.76378002
5.80393,15.76262367
5.8317,15.75499073
5.85947,15.74340603
5.88724,15.73051684
5.91501,15.71896842
5.94278,15.71087922
5.97055,15.7071369
5.99832,15.70845373
6.02609,15.71554194
6.05386,15.72819647
6.08163,15.7416462
6.1094,15.74970204
6.13717,15.74617446
6.16494,15.72556128
6.19271,15.69022582
6.22048,15.64754744
6.24825,15.60498654
6.27602,15.56987309
6.30379,15.54488147
6.33156,15.52686717
6.35933,15.51231895
6.3871,15.4977297
6.41487,15.48117805
6.44264,15.46472313
6.47041,15.45103859
6.49818,15.44279812
6.52595,15.44199837
6.55372,15.44699676
6.58149,15.45493319
6.60926,15.46294666
6.63703,15.46826953
6.6648,15.46930594
6.69257,15.46525946
6.72034,15.45534907
6.74811,15.43885052
6.77588,15.4173915
6.80365,15.39574161
6.83142,15.37888942
6.85919,15.37181939
6.88696,15.37699587
6.91473,15.39008086
6.9425,15.40560006
6.97027,15.41807921
6.99804,15.42298827
7.02581,15.42128225
7.05358,15.41589164
7.08135,15.40974955
7.10912,15.40563925
7.13689,15.4042736
7.16466,15.40485502
7.19243,15.40655161
7.2202,15.40853426
7.24797,15.41010926
7.27574,15.41077631
7.30351,15.41004993
7.33128,15.40744491
7.35905,15.4027151
7.38682,15.39630899
7.41459,15.38880045
7.44236,15.38076339
7.47013,15.37281813
7.4979,15.36587665
7.52567,15.36096396
7.55344,15.3591053
7.58121,15.36116521
7.60898,15.36555604
7.63675,15.36877794
7.66452,15.36728039
7.69229,15.35756759
7.72006,15.33930062
7.74783,15.31696343
7.7756,15.29544669
7.80337,15.27964037
7.83114,15.27273667
7.85891,15.27261615
7.88668,15.27612338
7.91445,15.28010293
7.94222,15.281656
7.96999,15.2796292
7.99776,15.27359592
8.02553,15.26313196
8.0533,15.24792073
8.08107,15.22946565
8.10884,15.21078691
8.13661,15.19495104
8.16438,15.18499444
8.19215,15.18185971
8.21992,15.18306645
8.24769,15.18581804
8.27546,15.18731799
8.30323,15.18562581
8.331,15.18168747
8.35877,15.17705667
8.38654,15.17328715
8.41431,15.17174882
8.44208,15.17245682
8.46985,15.17482039
8.49762,15.17824595
8.52539,15.18208789
8.55316,15.18472128
8.58093,15.18364915
8.6087,15.17634408
8.63647,15.1603074
8.66424,15.13549278
8.69201,15.10614621
8.71978,15.07694697
8.74755,15.0525743
8.77532,15.03649137
8.80309,15.0277394
8.83086,15.02435485
8.85863,15.02437416
8.8864,15.0259723
8.91417,15.02843252
8.94194,15.03156997
8.96971,15.03520315
8.99748,15.0391182
9.02525,15.04241995
9.05302,15.04356516
9.08079,15.04098485
9.10856,15.03312387
9.13633,15.01990244
9.1641,15.00400724
9.19187,14.98842937
9.21964,14.97615993
9.24741,14.96948311
9.27518,14.96791005
9.30295,14.97027205
9.33072,14.97540039
9.35849,14.98216059
9.38626,14.98971585
9.41403,14.99738259
9.4418,15.00447848
9.46957,15.01029891
9.49734,15.0136117
9.52511,15.01264862
9.55288,15.00561742
9.58065,14.99074356
9.60842,14.96868431
9.63619,14.94498486
9.66396,14.92577572
9.69173,14.91718741
9.7195,14.92328491
9.74727,14.93939161
9.77504,14.95851882
9.80281,14.97367781
9.83058,14.97849863
9.85835,14.97247358
9.88612,14.9583279
9.91389,14.93882071
9.94166,14.91669717
9.96943,14.8943292
9.9972,14.87368356
10.02497,14.85670666
10.05274,14.84533751
10.08051,14.84016069
10.10828,14.83884047
10.13605,14.83866124
10.16382,14.83690739
10.19159,14.83137416
10.21936,14.8221895
10.24713,14.81014688
10.2749,14.79603981
10.30267,14.78064445
10.33044,14.76455738
10.35821,14.74826916
10.38598,14.73226895
10.41375,14.71705
10.44152,14.70322975
10.46929,14.69156967
10.49706,14.68283933
10.52483,14.67780545
10.5526,14.67652783
10.58037,14.67742987
