Points,Data
0,7.944263324
0.027777,7.942773866
0.055554,7.940500179
0.083331,7.937520846
0.111108,7.933914453
0.138885,7.929750021
0.166662,7.925011551
0.194439,7.919638484
0.222216,7.913569868
0.249993,7.906749108
0.27777,7.899226157
0.305547,7.89116115
0.333324,7.882719307
0.361101,7.874066095
0.388878,7.86540301
0.416655,7.857005357
0.444432,7.849157481
0.472209,7.842143728
0.499986,7.836140147
0.527763,7.830854802
0.55554,7.825869373
0.583317,7.820765538
0.611094,7.81518187
0.638871,7.809309141
0.666648,7.803648559
0.694425,7.798704792
0.722202,7.794972174
0.749979,7.792658038
0.777756,7.791652278
0.805533,7.791828346
0.83331,7.793058294
0.861087,7.794934836
0.888864,7.796436005
0.916641,7.796457975
0.944418,7.793896917
0.972195,7.788011767
0.999972,7.779755338
1.027749,7.770574454
1.055526,7.761915997
1.083303,7.755099861
1.11108,7.750097879
1.138857,7.746069412
1.166634,7.742162631
1.194411,7.73754618
1.222188,7.732039543
1.249965,7.726232218
1.277742,7.720758218
1.305519,7.716250395
1.333296,7.7130148
1.361073,7.710584346
1.38885,7.708380152
1.416627,7.705823338
1.444404,7.702399428
1.472181,7.697919012
1.499958,7.692294999
1.527735,7.685440339
1.555512,7.67731798
1.583289,7.668472882
1.611066,7.659825848
1.638843,7.652303962
1.66662,7.646812557
1.694397,7.643458614
1.722174,7.641338607
1.749951,7.639484082
1.777728,7.636927347
1.805505,7.633020523
1.833282,7.627929857
1.861059,7.621949241
1.888836,7.615372568
1.916613,7.608539833
1.94439,7.602042687
1.972167,7.596558221
1.999944,7.592763596
2.027721,7.591252254
2.055498,7.591546083
2.083275,7.592425893
2.111052,7.592657704
2.138829,7.591026007
2.166606,7.587105693
2.194383,7.581542268
2.22216,7.575057383
2.249937,7.568372475
2.277714,7.562065056
2.305491,7.556318075
2.333268,7.551247472
2.361045,7.546969188
2.388822,7.543553191
2.416599,7.540797871
2.444376,7.538402244
2.472153,7.53606518
2.49993,7.533505121
2.527707,7.530716924
2.555484,7.527900085
2.583261,7.525258915
2.611038,7.522992198
2.638815,7.521019875
2.666592,7.518857554
2.694369,7.515989126
2.722146,7.511898589
2.749923,7.506205028
2.7777,7.498926654
2.805477,7.490155038
2.833254,7.479981749
2.861031,7.468593304
2.888808,7.456783819
2.916585,7.445586822
2.944362,7.436036423
2.972139,7.429107966
2.999916,7.424858246
3.027693,7.42261632
3.05547,7.421691297
3.083247,7.421396281
3.111024,7.421285474
3.138801,7.421287493
3.166578,7.421363241
3.194355,7.421473626
3.222132,7.421579985
3.249909,7.421645036
3.277686,7.421631772
3.305463,7.421503186
3.33324,7.421161661
3.361017,7.420089002
3.388794,7.417588701
3.416571,7.412963604
3.444348,7.405595163
3.472125,7.396230528
3.499902,7.386774419
3.527679,7.379168176
3.555456,7.375331043
3.583233,7.375563843
3.61101,7.377474398
3.638787,7.37841589
3.666564,7.375741607
3.694341,7.367790147
3.722118,7.356289325
3.749895,7.343695132
3.777672,7.332463557
3.805449,7.324763338
3.833226,7.320598828
3.861003,7.318987851
3.88878,7.318943216
3.916557,7.319496148
3.944334,7.320035189
3.972111,7.320272838
3.999888,7.319933316
4.027665,7.318741656
4.055442,7.316496241
4.083219,7.313126306
4.110996,7.308574621
4.138773,7.302783956
4.16655,7.295843139
4.194327,7.28838357
4.222104,7.281162604
4.249881,7.274937596
4.277658,7.270365442
4.305435,7.267279924
4.333212,7.265111792
4.360989,7.263289039
4.388766,7.261255593
4.416543,7.258802311
4.44432,7.256056455
4.472097,7.253159119
4.499874,7.250251023
4.527651,7.247430367
4.555428,7.244713973
4.583205,7.242109481
4.610982,7.239624529
4.638759,7.237194997
4.666536,7.234468806
4.694313,7.231021658
4.72209,7.226429252
4.749867,7.220351175
4.777644,7.213195698
4.805421,7.205764601
4.833198,7.198863164
4.860975,7.193278499
4.888752,7.18935118
4.916529,7.186958697
4.944306,7.185957064
4.972083,7.186200084
4.99986,7.187210817
5.027637,7.187832837
5.055414,7.186826205
5.083191,7.182950982
5.110968,7.175495385
5.138745,7.166037319
5.166522,7.15677503
5.194299,7.149906774
5.222076,7.14736057
5.249853,7.148432001
5.27763,7.15093244
5.305407,7.152656578
5.333184,7.151458419
5.360961,7.146848574
5.388738,7.140175079
5.416515,7.132881567
5.444292,7.126409057
5.472069,7.121669695
5.499846,7.118408369
5.527623,7.116213983
5.5554,7.114675439
5.583177,7.113396743
5.610954,7.112052645
5.638731,7.110338593
5.666508,7.107950036
5.694285,7.104633192
5.722062,7.100675239
5.749839,7.096690328
5.777616,7.093297153
5.805393,7.091097426
5.83317,7.090149944
5.860947,7.08986938
5.888724,7.089633002
5.916501,7.088818693
5.944278,7.086979762
5.972055,7.084085805
5.999832,7.080166815
6.027609,7.075252784
6.055386,7.069406548
6.083163,7.062857265
6.11094,7.055886611
6.138717,7.04877628
6.166494,7.041813319
6.194271,7.035347278
6.222048,7.029768186
6.249825,7.025466755
6.277602,7.022823349
6.305379,7.02183619
6.333156,7.022018454
6.360933,7.022852014
6.38871,7.023819001
6.416487,7.024510542
6.444264,7.024796087
6.472041,7.024588869
6.499818,7.023802121
6.527595,7.022357187
6.555372,7.020219841
6.583149,7.017370986
6.610926,7.013791538
6.638703,7.009470356
6.66648,7.004498342
6.694257,6.999037177
6.722034,6.993249961
6.749811,6.98730062
6.777588,6.981388523
6.805365,6.975761186
6.833142,6.970669566
6.860919,6.966364437
6.888696,6.962970123
6.916473,6.960263228
6.94425,6.957961108
6.972027,6.955781119
6.999804,6.953471145
7.027581,6.950960014
7.055358,6.948242968
7.083135,6.945315352
7.110912,6.942184295
7.138689,6.939024052
7.166466,6.936132956
7.194243,6.933812275
7.22202,6.932355225
7.249797,6.931645668
7.277574,6.930972199
7.305351,6.929576532
7.333128,6.926700716
7.360905,6.922017437
7.388682,6.916475724
7.416459,6.91125996
7.444236,6.907554527
7.472013,6.906291838
7.49979,6.906786482
7.527567,6.907713625
7.555344,6.907746857
7.583121,6.905639479
7.610898,6.901396158
7.638675,6.896015757
7.666452,6.89052456
7.694229,6.885940513
7.722006,6.882774576
7.749783,6.880748139
7.77756,6.879514234
7.805337,6.8787259
7.833114,6.878065156
7.860891,6.877306653
7.888668,6.876243519
7.916445,6.874668878
7.944222,6.872415537
7.971999,6.869592597
7.999776,6.866426651
8.027553,6.863144725
8.05533,6.859965681
8.083107,6.856965917
8.110884,6.854100741
8.138661,6.851321609
8.166438,6.848579599
8.194215,6.845797964
8.221992,6.84285352
8.249769,6.839618678
8.277546,6.835965861
8.305323,6.831913837
8.3331,6.827986357
8.360877,6.824816016
8.388654,6.823035412
8.416431,6.823110649
8.444208,6.824249034
8.471985,6.825082394
8.499762,6.824239593
8.527539,6.820429997
8.555316,6.813932086
8.583093,6.806450922
8.61087,6.799743483
8.638647,6.795555524
8.666424,6.794605899
8.694201,6.795776223
8.721978,6.79775742
8.749755,6.799240416
8.777532,6.799104048
8.805309,6.796927425
8.833086,6.792452745
8.860863,6.785422208
8.88864,6.775741049
8.916417,6.764655055
8.944194,6.754068337
8.971971,6.745889568
8.999748,6.741923537
9.027525,6.741702145
9.055302,6.7425472
9.083079,6.741689192
9.110856,6.736374715
9.138633,6.725718284
9.16641,6.712419606
9.194187,6.699584425
9.221964,6.690318485
9.249741,6.68678609
9.277518,6.687361578
9.305295,6.689465707
9.333072,6.690519235
9.360849,6.688167477
9.388626,6.682067139
9.416403,6.672935213
9.44418,6.661498214
9.471957,6.648499061
9.499734,6.635085857
9.527511,6.622828074
9.555288,6.613314822
9.583065,6.608126754
9.610842,6.60756468
9.638619,6.609292292
9.666396,6.61064802
9.694173,6.608970297
9.72195,6.602323715
9.749727,6.591931064
9.777504,6.579873514
9.805281,6.568232256
9.833058,6.558921477
9.860835,6.552222619
9.888612,6.547493875
9.916389,6.54408297
9.944166,6.54134954
9.971943,6.538987791
9.99972,6.537064049
10.027497,6.535664091
10.055274,6.534873187
10.083051,6.534672454
10.110828,6.534812456
10.138605,6.535012839
10.166382,6.534993249
10.194159,6.534742509
10.221936,6.535514441
10.249713,6.538934153
10.27749,6.546626799
10.305267,6.559921222
10.333044,6.57697697
10.360821,6.594032438
10.388598,6.607299127
10.416375,6.613086183
10.444152,6.610843208
